index,name,type,price,score,displacement,horsepower,torque,length,width,height,wheelbase,imgLink
145,本田UR-V 2020款 240TURBO 两驱致悦版,SUV,24.68,4.08,1.5,193,243,4856,1942,1670,2820,https://p1-dcd.byteimg.com/img/motor-img/db96eefc8ca7a87b3b2950b414569eb4~noop.png
146,领裕 2021款 EcoBoost 225 5座精领型,SUV,16.98,3.97,2,224,360,4905,1930,1755,2865,https://p1-dcd.byteimg.com/img/motor-img/5ec5b7a23f589c59e41c6fc243a9c56b~noop.png
147,奥迪Q2L 2022款 35 TFSI 进取致雅型,SUV,22.88,4.19,1.4,150,250,4257,1785,1547,2628,https://p1-dcd.byteimg.com/img/motor-img/0e16b77226dca6112ea3d2b8e2e7d9d5~noop.png
148,马自达CX-5 2022款 2.0L 自动两驱舒适型,SUV,17.58,4.36,2,155,200,4575,1842,1685,2700,https://p1-dcd.byteimg.com/img/motor-img/2fc057c01b2843f10af028ad0fc3c19a~noop.png
149,开拓者 2021款 轻混 650T 7座 型版,SUV,25.99,4.25,2,237,350,4999,1953,1717,2863,https://p1-dcd.byteimg.com/img/motor-img/87022b02e646f4a4204f2cb8f323d5ca~noop.png
150,坦克300 2021款 越野版 2.0T 挑战者,SUV,19.58,4.48,2,227,387,4760,1930,1903,2750,https://p1-dcd.byteimg.com/img/motor-img/cce3530b58a24badc02ac94570c760b8~noop.png
151,奔驰GLC 2022款 二次改款 GLC 260 L 4MATIC 动感型,SUV,40.25,4.25,2,197,320,4764,1898,1642,2973,https://p1-dcd.byteimg.com/img/motor-img/e7f454e5d4e4455413faa4bba5126799~noop.png
152,奥迪Q5L 2022款 40T 时尚动感型,SUV,39.68,4.42,2,190,320,4770,1893,1667,2907,https://p9-dcd.byteimg.com/img/motor-img/201fcd0f4247174b883e027100c6f7b3~noop.png
153,汉兰达 2022款 双擎 2.5L 两驱精英版 5座,SUV,26.88,4.2,2.5,192,238,4965,1930,1750,2850,https://p1-dcd.byteimg.com/img/motor-img/21f7dee55995145fa5f742657ff783a0~noop.png
154,坦克500 2022款 运动版 登峰 5座,SUV,33.5,4.24,3,360,500,5070,1934,1905,2850,https://p1-dcd.byteimg.com/img/motor-img/d387242f8d42256a4707233b5421c3c4~noop.png
155,宝马X3 2022款 xDrive25i M运动套装,SUV,39.28,4.43,2,184,300,4737,1891,1689,2864,https://p9-dcd.byteimg.com/img/motor-img/77da976a9938b0ec5fc46615b7715e74~noop.png
156,沃尔沃XC60 2022款 B4 两驱智行豪华版,SUV,37.39,4.37,2,197,300,4708,1902,1658,2865,https://p1-dcd.byteimg.com/img/motor-img/5b9793002c3624fcff5acd2041925a55~noop.png
157,途昂 2022款 330TSI 两驱豪华版,SUV,29.5,4.25,2,186,320,5052,1989,1773,2980,https://p1-dcd.byteimg.com/img/motor-img/31c62d9e9677c421c2ce05824d758066~noop.png
159,问界M5 2022款 后驱标准版,SUV,25.98,4.1,1.5,125,205,4770,1930,1625,2880,https://p1-dcd.byteimg.com/img/motor-img/8d1cddddfd217bfba42a1ea460f60010~noop.png
160,揽境 2021款 330TSI 精英新境版,SUV,29.99,4.03,2,186,320,5152,2002,1795,2980,https://p1-dcd.byteimg.com/img/motor-img/9a4d6204f06c93465cbb29f646ecdd8e~noop.png
161,冒险家 2022款 2.0T 两驱MONO限量版,SUV,28.98,4.11,2,245,390,4615,1887,1630,2711,https://p9-dcd.byteimg.com/img/motor-img/66c3d8def50bfa3147bce7f8effd1ad5~noop.png
162,冠道 2020款 240 TURBO CVT 精英版,SUV,22,4.05,1.5,193,243,4858,1942,1670,2820,https://p1-dcd.byteimg.com/img/motor-img/26f0c10201f02572f684ead41b64e26e~noop.png
163,皇冠陆放 2021款 2.5L HEV两驱进取版,SUV,27.58,4.31,2.5,192,238,5015,1930,1750,2850,https://p1-dcd.byteimg.com/img/motor-img/7a7143dba294bfc49ff39a154e4b9ad5~noop.png
164,凯迪拉克XT5 2022款 2.0T 两驱风尚型,SUV,33.27,4.38,2,237,350,4813,1903,1682,2857,https://p9-dcd.byteimg.com/img/motor-img/c17e337c35ef43835c945d3bd3d25942~noop.png
165,揽胜极光 2021款 极光L 200PS R-Dynamic Standard精英版,SUV,38.98,4.33,2,200,320,4531,1904,1650,2841,https://p1-dcd.byteimg.com/img/motor-img/99568225ef7ce28de72b976b799ba2d1~noop.png
166,凯迪拉克XT6 2022款 2.0T 轻混动 七座两驱风尚型,SUV,39.27,4.57,2,237,350,5056,1964,1777,2863,https://p1-dcd.byteimg.com/img/motor-img/6d647af5a9e836b52664a4b0e679b4ea~noop.png
167,探险者 2022款 EcoBoost 285 三十周年纪念版 6座,SUV,33.98,4.28,2.3,276,425,5075,2004,1778,3025,https://p1-dcd.byteimg.com/img/motor-img/10172dc02016fef77c5efa81754b11bf~noop.png
168,凯迪拉克XT4 2022款 28T 两驱风尚型,SUV,26.17,4.35,2,237,350,4600,1881,1627,2779,https://p1-dcd.byteimg.com/img/motor-img/1234e81b15b197c2619d7913e7012161~noop.png
169,领克09 2021款 2.0T Pro 七座,SUV,26.59,4.07,2,254,350,5042,1977,1780,2984,https://p1-dcd.byteimg.com/img/motor-img/1a06bf130547fd74fa56c6a455d8dd7d~noop.png
170,航海家 2022款 2.7T 四驱尊雅版,SUV,40.58,4.11,2.7,322,500,4849,1934,1693,2850,https://p1-dcd.byteimg.com/img/motor-img/18dff70e2b6dce9861955d3b1a42520b~noop.png
171,发现运动版 2022款 200PS 家庭版 5座,SUV,35.68,4.14,2,200,320,4597,1904,1727,2741,https://p1-dcd.byteimg.com/img/motor-img/4adeee45261e0cbf911b60c3978e2d86~noop.png
172,本田UR-V 2020款 240TURBO 两驱致悦版,SUV,24.68,4.08,1.5,193,243,4856,1942,1670,2820,https://p1-dcd.byteimg.com/img/motor-img/db96eefc8ca7a87b3b2950b414569eb4~noop.png
173,奔驰GLA 2022款 改款 GLA 180,SUV,27.49,4.1,1.3,136,200,4427,1834,1610,2729,https://p9-dcd.byteimg.com/img/motor-img/ea488e8d2a2b6944933531ac136e4c67~noop.png
174,锐界 2021款 PLUS EcoBoost 245 两驱精锐型 5座,SUV,22.98,3.91,2,245,390,4878,1925,1734,2850,https://p1-dcd.byteimg.com/img/motor-img/976bb2af987b5dd68d99d972a29ff4c7~noop.png
175,昂科旗 2022款 652T 两驱尊贵型,SUV,29.99,4.29,2,237,350,4981,1953,1722,2863,https://p1-dcd.byteimg.com/img/motor-img/bc901ffc4cc27ad809db884987ea9edc~noop.png
177,途昂X 2022款 330TSI 两驱豪华版,SUV,28.5,4.1,2,186,320,4917,1989,1719,2980,https://p9-dcd.byteimg.com/img/motor-img/4a82796542de446b9a95bb5c468258d0~noop.png
178,雷克萨斯NX 2022款 260 前驱 创驰版,SUV,31.88,4.18,2.5,205,243,4660,1865,1660,2690,https://p1-dcd.byteimg.com/img/motor-img/310724627d2fa5878db2d88f6c008d9d~noop.png
179,宝马X5 2022款 xDrive 30Li M运动套装,SUV,60.5,4.6,2,245,400,5060,2004,1779,3105,https://p9-dcd.byteimg.com/img/motor-img/b52cd12ebe3539aec00f1eb70b53464f~noop.png
180,揽胜 2022款 3.0 L6 400PS 盛世七座加长版,SUV,146.8,4.56,3,400,550,5252,2047,1870,3197,https://p1-dcd.byteimg.com/img/motor-img/48e9ff3bc991d2fb08ebcd1cda860c67~noop.png
181,奔驰GLE 2022款 GLE 350 4MATIC 动感型,SUV,69.98,4.31,2,258,370,4930,1950,1795,2995,https://p9-dcd.byteimg.com/img/motor-img/552aa57b3d6964172444b07aa0ece5c0~noop.png
182,飞行家 2021款 3.0T V6 两驱尊悦版,SUV,50.98,4.33,3,355,553,5080,2022,1759,3025,https://p1-dcd.byteimg.com/img/motor-img/ad53b550ad2645d145836079677486ca~noop.png
183,Macan 2023款 Macan 2.0T,SUV,57.3,4.57,2,265,400,4726,1922,1621,2807,https://p1-dcd.byteimg.com/img/motor-img/8c3a6259f1b98724cd3dcb49e3a078b1~noop.png
184,途锐 2022款 2.0TSI 锐尚版,SUV,65.18,4.16,2,245,370,4878,1984,1686,2899,https://p1-dcd.byteimg.com/img/motor-img/c27c9685df09b8bafacc0dee421c5f51~noop.png
185,雷克萨斯RX 2021款 300 四驱特别版,SUV,50.9,4.26,2,231,350,4890,1895,1710,2790,https://p1-dcd.byteimg.com/img/motor-img/2bf0638c30c50d9b45f8d1a68e0d8385~noop.png
186,卫士 2023款 90 2.0T P300 SE,SUV,69.8,4.63,2,300,400,4323,2008,1969,2587,https://p1-dcd.byteimg.com/img/motor-img/7e3aad4faa6df97e80dcff26400041e0~noop.png
187,奔驰G级 2022款 G 500,SUV,189.2,4.93,4,421,610,4866,1931,1975,2890,https://p1-dcd.byteimg.com/img/motor-img/2cc3e061385432c976550114dba7436b~noop.png
188,Cayenne 2023款 Cayenne 3.0T,SUV,92.3,4.54,3,340,450,4918,1983,1696,2895,https://p1-dcd.byteimg.com/img/motor-img/3f4b0a5925ee9ebc28591704dc843b99~noop.png
189,牧马人 2022款 2.0T 高地丛林绿限量版,SUV,49.49,4.3,2,266,400,4882,1894,1838,3008,https://p1-dcd.byteimg.com/img/motor-img/189bee2f3c01c707c1c0e39e0e732fc7~noop.png
190,奔驰GLS 2022款 改款 GLS 400 4MATIC,SUV,106.8,4.23,2.5,313,450,5218,2030,1823,3135,https://p1-dcd.byteimg.com/img/motor-img/d6dc40fc94cd4227869a919754e8a8bb~noop.png
191,沃尔沃XC90 2022款 B5 智行豪华版 5座,SUV,63.89,4.41,2,250,350,4953,1958,1776,2984,https://p1-dcd.byteimg.com/img/motor-img/0ff41371098cc2ca003991d9002ac987~noop.png
193,奥迪Q7 2022款 45 TFSI quattro S line运动型,SUV,70.18,4.31,2,245,370,5067,1970,1731,2996,https://p1-dcd.byteimg.com/img/motor-img/543fb6955f21d81ee526c77717fa8a14~noop.png
194,揽胜星脉 2022款 250PS,SUV,55.8,4.51,2,250,365,4811,1930,1684,2874,https://p9-dcd.byteimg.com/img/motor-img/0cd9299753ffdd8488479fa4b0aaff1c~noop.png
195,揽胜运动版 2022款 3.0 L6 SE,SUV,90.8,4.55,3,360,495,4879,2073,1803,2923,https://p1-dcd.byteimg.com/img/motor-img/b3ee86613ee39e7cadccc415d58d3e57~noop.png
196,Grecale 2023款 2.0T GT,SUV,63.88,4.3,2,300,450,4846,1948,1670,2901,https://p1-dcd.byteimg.com/img/motor-img/69a0a34bb76458d21da97c2b72c58980~noop.png
197,宝马X7 2022款 xDrive40i 领先型豪华套装,SUV,100,4.47,3,340,450,5163,2000,1835,3105,https://p1-dcd.byteimg.com/img/motor-img/9d0411198be7a571b03fbb3011d8e15d~noop.png
198,雷克萨斯NX 2022款 260 前驱 创驰版,SUV,31.88,4.18,2.5,205,243,4660,1865,1660,2690,https://p1-dcd.byteimg.com/img/motor-img/310724627d2fa5878db2d88f6c008d9d~noop.png
199,奔驰G级AMG 2022款 AMG G 63,SUV,254.7,4.91,4,585,850,4870,1984,1979,2890,https://p1-dcd.byteimg.com/img/motor-img/8483a156499242bb3ee14fad0dbcea86~noop.png
200,迈巴赫GLS 2021款 GLS 480 4MATIC,SUV,183.3,4.41,3,367,500,5210,2030,1838,3135,https://p1-dcd.byteimg.com/img/motor-img/a4ed4ad517848485f5c300a1cd11d796~noop.png
201,领航员 2020款 3.5T 尊耀版,SUV,109.8,4.42,3.5,387,680,5355,2073,1937,3112,https://p1-dcd.byteimg.com/img/motor-img/29dd638bf6e4811b85b16c575530f30b~noop.png
202,宝马X4 2022款 xDrive 25i M运动套装,SUV,45.59,4.49,2,184,300,4762,1926,1632,2864,https://p1-dcd.byteimg.com/img/motor-img/00aad4e2841ef717e76e033ffd60eb32~noop.png
203,宝马X5(进口) 2022款 xDrive30i M运动套装,SUV,69.99,4.66,2,265,400,4930,2004,1776,2975,https://p1-dcd.byteimg.com/img/motor-img/8036944082d3e69598229df25eeeedd8~noop.png
204,库里南 2020款 Black Badge,SUV,780,4.69,6.7,600,900,5341,2000,1837,3295,https://p9-dcd.byteimg.com/img/motor-img/8c26a75927bd00d87edd295c9ecb1e37~noop.png
206,Urus 2021款 4.0T V8,SUV,294.11,4.75,4,650,850,5112,2016,1638,3003,https://p3-dcd.byteimg.com/img/motor-img/cc2ff963741939634ecaa2690f80bb59~noop.png
207,奥迪Q8 2022款 45 TFSI 豪华动感型,SUV,78.28,4.51,2,245,370,5006,1995,1695,2998,https://p1-dcd.byteimg.com/img/motor-img/49ac232cde07d93d5e6f08998e17e62b~noop.png
209,别克GL8 2022款 陆上公务舱 652T 舒适型,MPV,23.29,4.01,2,237,350,5238,1878,1776,3088,https://p1-dcd.byteimg.com/img/motor-img/ca3b383b45ed3d32080e341e8e664cd0~noop.png
210,传祺M8 2021款 改款 领秀系列 390T 豪华版,MPV,17.98,4.17,2,252,390,5089,1884,1822,3000,https://p1-dcd.byteimg.com/img/motor-img/0ea10a539c0583c042068e27450a040b~noop.png
211,奥德赛 2022款 2.0L 锐·悦享版,MPV,23.58,4.08,2,146,175,4861,1820,1712,2900,https://p3-dcd.byteimg.com/img/motor-img/24513d34201d404f3499988efef33589~noop.png
212,库斯途 2022款 270TGDi 智爱旗舰版 TOP,MPV,19.58,3.83,1.5,170,253,4950,1850,1734,3055,https://p1-dcd.byteimg.com/img/motor-img/b8003b7e07498026bae4c0eef2ac8b4f~noop.png
213,荣威iMAX8 2022款 400TGI 旗舰版,MPV,18.88,4.07,2,234,360,5016,1909,1782,3000,https://p3-dcd.byteimg.com/img/motor-img/6ffaee9ed099579b79c84b9616309175~noop.png
214,上汽大通MAXUS G90 2022款 2.0T 星辰七座版,MPV,21.99,4.1,2,234,360,5280,1998,1845,3200,https://p9-dcd.byteimg.com/img/motor-img/a1ee687418329152e9c1b720e140a392~noop.png
215,途睿欧 2020款 2.0T 手动精英版 国VI,MPV,18.69,4.1,2,203,300,4976,2095,1990,2933,https://p1-dcd.byteimg.com/img/motor-img/4c3aa842be214b62d3079f9992b593c6~noop.png
216,上汽大通MAXUS G20 2022款 PLUS 2.0T 自动曼哈顿版,MPV,33.88,4,2,224,350,5198,1980,1928,3198,https://p1-dcd.byteimg.com/img/motor-img/7f2c97afafad9ed6d875d3a8fb3ce8cf~noop.png
217,风行M7 2022款 领爵款 2.0T 自动伯爵版,MPV,14.69,3.57,2,224,385,5170,1920,1930,3198,https://p1-dcd.byteimg.com/img/motor-img/dd83b429d3e51b7671c7258ecaecf821~noop.png
220,瑞风L6 MAX 2022款 2.0T 自动高功率舒享版,MPV,18.38,4.1,2,236,390,5255,1850,1970,3200,https://p1-dcd.byteimg.com/img/motor-img/f14374560913e11a0f0e22ee6d6d63a2~noop.png
221,别克GL8 2022款 陆上公务舱 652T 舒适型,MPV,23.29,4.01,2,237,350,5238,1878,1776,3088,https://p1-dcd.byteimg.com/img/motor-img/ca3b383b45ed3d32080e341e8e664cd0~noop.png
222,传祺M8 2021款 改款 领秀系列 390T 豪华版,MPV,17.98,4.17,2,252,390,5089,1884,1822,3000,https://p1-dcd.byteimg.com/img/motor-img/0ea10a539c0583c042068e27450a040b~noop.png
223,奥德赛 2022款 2.0L 锐·悦享版,MPV,23.58,4.08,2,146,175,4861,1820,1712,2900,https://p3-dcd.byteimg.com/img/motor-img/24513d34201d404f3499988efef33589~noop.png
224,赛那 2021款 2.5L混动 舒适版,MPV,30.98,4.2,2.5,192,238,5165,1995,1765,3060,https://p1-dcd.byteimg.com/img/motor-img/3d40895e3ab4e118a086187f7e78ebba~noop.png
225,梦想家 2022款 低碳版 家,MPV,36.99,4.1,1.5,136,200,5315,1985,1820,3200,https://p1-dcd.byteimg.com/img/motor-img/db3cf939fd41ad7e746f3cf4e1c77ea6~noop.png
226,艾力绅 2022款 2.0L 混动经典版,MPV,27.98,4.06,2,146,175,4951,1842,1711,2900,https://p1-dcd.byteimg.com/img/motor-img/ca29b4ab792b352e4205c0a2c674453f~noop.png
227,威然 2022款 330TSI 商务版,MPV,28.98,4.1,2,186,320,5346,1976,1781,3180,https://p1-dcd.byteimg.com/img/motor-img/d5a321e44d8fd3cbd522d1fb22b35c36~noop.png
228,威霆 2021款 2.0T 精英版 7座,MPV,29.38,4.11,2,211,350,5370,1928,1880,3430,https://p1-dcd.byteimg.com/img/motor-img/99be7e56fcde356fb22ec554e1edd23f~noop.png
229,嘉华 2021款 2.0T豪华款,MPV,28.89,4.03,2,233,353,5155,1995,1795,3090,https://p1-dcd.byteimg.com/img/motor-img/c6ac1024c4633112f738ffc8fc41b52c~noop.png
230,上汽大通MAXUS G90 2022款 2.0T 星辰七座版,MPV,21.99,4.2,2,234,360,5280,1998,1845,3200,https://p1-dcd.byteimg.com/img/motor-img/a1ee687418329152e9c1b720e140a392~noop.png
231,上汽大通MAXUS G20 2022款 PLUS 2.0T 自动曼哈顿版,MPV,33.88,4,2,224,350,5198,1980,1928,3198,https://p1-dcd.byteimg.com/img/motor-img/7f2c97afafad9ed6d875d3a8fb3ce8cf~noop.png
235,别克GL8 2022款 陆上公务舱 652T 舒适型,MPV,23.29,4.01,2,237,350,5238,1878,1776,3088,https://p1-dcd.byteimg.com/img/motor-img/ca3b383b45ed3d32080e341e8e664cd0~noop.png
236,梦想家 2022款 低碳版 家,MPV,36.99,4.3,1.5,136,200,5315,1985,1820,3200,https://p9-dcd.byteimg.com/img/motor-img/db3cf939fd41ad7e746f3cf4e1c77ea6~noop.png
237,埃尔法 2021款 双擎 2.5L 豪华版,MPV,83.9,4.4,2.5,117,198,4975,1850,1945,3000,https://p1-dcd.byteimg.com/img/motor-img/3105c94354a01bb177474e6c81e21dfe~noop.png
238,奔驰V级 2021款 V 260 领航版,MPV,47.88,4.31,2,211,350,5140,1928,1880,3200,https://p9-dcd.byteimg.com/img/motor-img/16fa3d6340f7e402988c12641828d6b0~noop.png
239,雷克萨斯LM 2020款 300h 七座隽雅版,MPV,116.6,4.47,2.5,117,198,5040,1850,1945,3000,https://p1-dcd.byteimg.com/img/motor-img/986d47c0da02b9253a0b22085e522395~noop.png
240,威尔法 2021款 皇冠 双擎 2.5L HV豪华版,MPV,83.9,4.24,2.5,117,198,4975,1850,1945,3000,https://p1-dcd.byteimg.com/img/motor-img/56a3d2fac58806bc7dd463849569ef93~noop.png
241,克蒂圣姆峰 2022款 2.0T 圣姆峰M1 7座版,MPV,42.98,4.11,2,203,300,5450,2095,2010,3300,https://p1-dcd.byteimg.com/img/motor-img/56a3d2fac58806bc7dd463849569ef93~noop.png
242,克蒂巴赫 2021款 2.0T 巴赫M3单门 7座,MPV,65.8,4.11,2,211,350,5370,1928,1880,3430,https://p1-dcd.byteimg.com/img/motor-img/56a3d2fac58806bc7dd463849569ef93~noop.png
243,傲旋V-Class 2021款 2.0T 纵横四海,MPV,148,4.11,2,211,350,5420,1928,2060,3430,https://p1-dcd.byteimg.com/img/motor-img/56a3d2fac58806bc7dd463849569ef93~noop.png
244,晓奥V-Class 2022款 梵赫版,MPV,78.8,4.11,2,211,350,5370,1928,2100,3430,https://p1-dcd.byteimg.com/img/motor-img/56a3d2fac58806bc7dd463849569ef93~noop.png
245,星影VLS 2022款 VLS500,MPV,85.8,4.11,2,211,350,5400,1928,2030,3430,https://p1-dcd.byteimg.com/img/motor-img/56a3d2fac58806bc7dd463849569ef93~noop.png
246,Lorinser VS系列 2021款 VS600MX 湾流·天地合一,MPV,198.8,4.11,2,211,350,5465,1928,1940,3430,https://p1-dcd.byteimg.com/img/motor-img/91561bc6d3d90ed43353dd3f3523c0a2~noop.png
247,Lorinser LS560MX 2020款 LS560MX SKABINE 天际,MPV,138.8,4.11,2,211,350,5465,1928,1940,3430,https://p1-dcd.byteimg.com/img/motor-img/91561bc6d3d90ed43353dd3f3523c0a2~noop.png
248,车驰V-Class 2020款 V260L 维多利亚 臻享版,MPV,89.8,4.11,2,211,350,5420,1928,2060,3430,https://p1-dcd.byteimg.com/img/motor-img/91561bc6d3d90ed43353dd3f3523c0a2~noop.png
249,LUMMA CLR V 2022款 2.0T 男爵版,MPV,138,4.11,2,261,430,5400,1928,1920,3430,https://p1-dcd.byteimg.com/img/motor-img/91561bc6d3d90ed43353dd3f3523c0a2~noop.png
250,迈莎锐MV600 2021款 2.0T 燿影,MPV,143.8,4.11,2,211,350,5400,1928,1920,3430,https://p1-dcd.byteimg.com/img/motor-img/91561bc6d3d90ed43353dd3f3523c0a2~noop.png
251,克蒂雪堆白 2021款 2.0T 雪堆白MH7,MPV,168,4.11,2,211,350,5400,1928,1920,3430,https://p1-dcd.byteimg.com/img/motor-img/91561bc6d3d90ed43353dd3f3523c0a2~noop.png
252,Lorinser MS500L 2020款 MS500L,MPV,88.8,4.11,2,211,350,5370,1928,1920,3430,https://p1-dcd.byteimg.com/img/motor-img/91561bc6d3d90ed43353dd3f3523c0a2~noop.png
253,卡漠兹系列 2021款 2.0T 威霆-全隔断,MPV,84.8,4.11,2,211,350,5370,1928,2095,3430,https://p1-dcd.byteimg.com/img/motor-img/91561bc6d3d90ed43353dd3f3523c0a2~noop.png
254,铂驰维努斯 2021款 2.0T NOVA星航,MPV,148.8,4.11,2,211,350,5400,1928,1970,3430,https://p1-dcd.byteimg.com/img/motor-img/91561bc6d3d90ed43353dd3f3523c0a2~noop.png
255,铂驰V系列 2021款 2.0T 威享,MPV,118.8,4.11,2,211,350,5400,1928,2100,3430,https://p1-dcd.byteimg.com/img/motor-img/91561bc6d3d90ed43353dd3f3523c0a2~noop.png
256,WALD V-Class 2020款 V 260 火系列,MPV,98.8,4.11,2,211,350,5140,1928,1920,3200,https://p1-dcd.byteimg.com/img/motor-img/91561bc6d3d90ed43353dd3f3523c0a2~noop.png
257,凌际星云系列 2022款 星云系列 2.0T 六座版,MPV,138,4.11,2,211,350,5370,1928,1998,3430,https://p1-dcd.byteimg.com/img/motor-img/91561bc6d3d90ed43353dd3f3523c0a2~noop.png
258,雅升V-Class 2021款 2.0T 雅升·墨非,MPV,115.8,4.11,2,211,350,5400,1940,2085,3430,https://p1-dcd.byteimg.com/img/motor-img/91561bc6d3d90ed43353dd3f3523c0a2~noop.png
259,上喆V级 2021款 V260L 铂金马版,MPV,119.8,4.11,2,211,350,5370,1928,2085,3430,https://p1-dcd.byteimg.com/img/motor-img/91561bc6d3d90ed43353dd3f3523c0a2~noop.png
260,LEVC TX(海外) 2020款 ICON,MPV,92.51,4.11,1.5,82,255,4857,1874,1888,2986,https://p1-dcd.byteimg.com/img/motor-img/91561bc6d3d90ed43353dd3f3523c0a2~noop.png
261,金冠奔驰V-Class 2020款 2.0T 高顶无隔断 D1款,MPV,96.8,4.11,2,211,350,5450,1928,2050,3430,https://p1-dcd.byteimg.com/img/motor-img/91561bc6d3d90ed43353dd3f3523c0a2~noop.png
262,卡升V-Class 2021款 V 260 L 高顶盛澜,MPV,128,4.11,2,211,350,5465,1950,2160,3430,https://p1-dcd.byteimg.com/img/motor-img/91561bc6d3d90ed43353dd3f3523c0a2~noop.png
263,龙程V-Class 2021款 豪华型,MPV,138,4.11,2,211,350,5400,1928,2050,3430,https://p1-dcd.byteimg.com/img/motor-img/91561bc6d3d90ed43353dd3f3523c0a2~noop.png
264,保时捷718 2023款 Cayman 2.0T,跑车,56.5,4.47,2,250,310,4379,1801,1295,2475,https://p1-dcd.byteimg.com/img/motor-img/b1cdec551b2ec5cbf21056186a9c5bff~noop.png
265,AMG GT 2022款 AMG GT 50 四门跑车,跑车,98.68,4.81,3,367,500,5054,1953,1455,2951,https://p3-dcd.byteimg.com/img/motor-img/95e3bdcfc3684df3335b40a51c885f10~noop.png
266,保时捷911 2022款 Carrera 3.0T,跑车,127.8,4.54,3,385,450,4519,1852,1298,2450,https://p1-dcd.byteimg.com/img/motor-img/36a5c683508cfaefe6350ced649bf34d~noop.png
267,Aventador 2019款 Aventador SVJ,跑车,736.4,4.77,6.5,770,720,4943,2098,1136,2700,https://p1-dcd.byteimg.com/img/motor-img/7b8fb3c2c51821b7f2f94ee0b8f1958f~noop.png
268,捷豹F-TYPE 2023款 P300 硬顶版,跑车,58.2,4.72,2,300,400,4470,1923,1308,2622,https://p3-dcd.byteimg.com/img/motor-img/69132c20b3e3d3b57b4f7ce66cf8115c~noop.png
269,Supra 2022款 GR SUPRA 2.0T 标准型,跑车,49.6,4.51,2,197,320,4381,1867,1310,2470,https://p1-dcd.byteimg.com/img/motor-img/16db4edc7be4bf9f8043191fff2c17c8~noop.png
270,Huracán 2021款 Huracán STO,跑车,390,4.86,5.2,640,565,4549,1945,1220,2620,https://p1-dcd.byteimg.com/img/motor-img/51cf87e2766800197503c0de429a91fa~noop.png
271,宝马Z4 2022款 sDrive 25i M运动套装,跑车,48.88,4.35,2,197,320,4336,1867,1322,2470,https://p1-dcd.byteimg.com/img/motor-img/fa2d4c6ab395b5024f43a68d39f1d637~noop.png
272,奥迪R8 2022款 V10 Coupe Performance,跑车,232.38,4.73,5.2,620,570,4429,1940,1236,2650,https://p1-dcd.byteimg.com/img/motor-img/c99d47c4d1db39f793546005c40b89aa~noop.png
273,欧陆 2022款 4.0T GT V8,跑车,305.5,4.84,4,550,770,4850,1966,1405,2851,https://p1-dcd.byteimg.com/img/motor-img/4d81c344b63325f550c04a5ac4e48a36~noop.png
274,Vantage 2023款 4.0T V8 Coupe,跑车,175.8,4.61,4,510,685,4465,1942,1273,2704,https://p1-dcd.byteimg.com/img/motor-img/354b3a1681f0022f5d8c691f98a7a453~noop.png
275,法拉利Roma 2020款 3.9T V8,跑车,241.8,4.3,3.9,620,760,4656,1974,1301,2670,https://p1-dcd.byteimg.com/img/motor-img/2a85d084ebb7477b747a8f7604dbcb46~noop.png
276,雷克萨斯LC 2021款 500h 特别版,跑车,129.8,4.74,3.5,299,350,4770,1920,1345,2870,https://p1-dcd.byteimg.com/img/motor-img/8e0599c6d23c2f74b1df8dd0a64949f7~noop.png
277,阿斯顿·马丁DB11 2023款 4.0T V8 Coupe,跑车,235.8,4.7,4,535,675,4750,1950,1290,2805,https://p9-dcd.byteimg.com/img/motor-img/ec308b9a29d44dd258a4247aef475d03~noop.png
278,迈凯伦GT 2019款 4.0T 标准型,跑车,208.8,4.64,4,620,630,4683,2095,1213,2675,https://p1-dcd.byteimg.com/img/motor-img/c5c54def79d8d79ba8142b544b203a48~noop.png
279,法拉利F8 2019款 Tributo 3.9T V8,跑车,305.7,4.81,3.9,720,770,4611,1979,1206,2650,https://p1-dcd.byteimg.com/img/motor-img/7317ac6a785b72073a9fbf24c1e26734~noop.png
280,玛莎拉蒂MC20 2021款 3.0T 标准版,跑车,211.13,4.71,3,630,730,4669,1965,1224,2700,https://p1-dcd.byteimg.com/img/motor-img/6fceb26d54a902f5756364f85f0c21f7~noop.png
281,法拉利296 GTB 2021款 3.0T V6,跑车,298.8,4.8,3,663,740,4565,1958,1187,2600,https://p1-dcd.byteimg.com/img/motor-img/b88d2f905fae0c87f6c8d871c84505ac~noop.png
282,法拉利SF90 2021款 3.9T V8 Spider,跑车,510.8,4.8,3.9,780,800,4704,1973,1191,2650,https://p3-dcd.byteimg.com/img/motor-img/a0d44e2e6419aef9ea1c5c72e62d8312~noop.png
283,法拉利812 2020款 6.5L GTS,跑车,540.8,4.8,6.5,800,718,4693,1971,1276,2720,https://p1-dcd.byteimg.com/img/motor-img/f59669b6142978d7f5ad5846739a4ac3~noop.png
284,阿斯顿·马丁DBS 2023款 DBS Superleggera V12 Coupe,跑车,400.8,0,5.2,725,900,4712,1968,1280,2805,https://p1-dcd.byteimg.com/img/motor-img/be2282d67b21cb4ff0904f8d3bbd7ea8~noop.png
285,Portofino 2021款 3.9T M,跑车,268.8,4.59,3.9,620,760,4594,1938,1318,2670,https://p1-dcd.byteimg.com/img/motor-img/ec879989614edba64cb491b30c9c14e9~noop.png
